Species	Protein ID	Family	Genome/EST	Category
Oryza sativa subsp. japonica	LOC_Os06g46410.1	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g46410.2	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g47150.1	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g47150.2	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g47150.3	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g47150.4	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g48950.1	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g08520.1	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g40900.1	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g40900.2	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g33940.1	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g32110.1	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g32110.2	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g32110.3	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g32110.4	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g29520.1	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g29520.2	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g29520.3	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g29520.4	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g29520.5	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g41950.1	ARF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g67770.1	ARR-B	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g08500.1	ARR-B	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g55320.1	ARR-B	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g12350.1	ARR-B	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g12350.2	ARR-B	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g12350.4	ARR-B	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g28130.1	ARR-B	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g32880.1	ARR-B	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g32890.1	ARR-B	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g08440.1	ARR-B	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g43910.1	ARR-B	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g04010.1	BBR/BPC	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g04010.2	BBR/BPC	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g02509.1	BBR/BPC	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g02584.1	BBR/BPC	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g02584.2	BBR/BPC	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g02584.3	BBR/BPC	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g02620.1	BBR/BPC	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g08180.1	BES1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g10610.1	BES1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g03690.1	BES1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g13900.1	BES1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g35900.1	BES1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g39220.1	BES1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g01840.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g01870.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g02110.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g06640.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g06640.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g09900.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g09930.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g09990.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g09990.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g11910.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g13460.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g18290.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g18290.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g18870.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g33400.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g38610.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g39330.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g39480.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g39580.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g50940.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g51140.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g51140.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g56690.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g57580.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g61480.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g67480.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g68700.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g68700.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g70310.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g70310.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g72370.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g72370.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g72370.3	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g02480.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g02480.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g02480.3	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g02820.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g12820.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g13670.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g15760.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g23823.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g34320.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g35660.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g39140.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g46560.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g47660.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g48060.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g49480.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g51320.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g52190.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g55250.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g56140.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g03000.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g04310.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g04310.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g08930.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g10770.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g12760.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g12940.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g12940.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g15440.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g17130.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g26210.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g26210.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g26210.3	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g39432.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g39432.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g42100.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g43810.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g46790.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g46860.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g51580.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g51910.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g53020.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g55220.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g55220.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g55550.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g56950.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g56950.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g56950.3	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g56950.4	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g56950.5	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g56950.6	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g56950.7	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g58330.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g58830.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g59670.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g23440.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g23550.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g28280.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g31290.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g35010.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g41229.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g41229.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g47040.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g47059.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g47080.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g50090.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g51070.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g52770.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g01256.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g01256.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g04740.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g04740.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g06520.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g07120.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g07120.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g11070.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g38140.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g46370.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g50900.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g51820.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g06900.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g08500.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g09370.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g09370.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g09370.3	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g10820.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g12210.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g16400.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g16400.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g30090.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g33450.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g33450.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g37410.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g05010.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g05010.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g05010.3	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g09590.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g35870.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g35870.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g36460.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g39940.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g43530.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g43530.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g01700.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g04390.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g33590.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g36740.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g37290.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g37730.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g38080.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g38210.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g38210.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g38210.4	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g38210.5	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g39630.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g41320.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g42470.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g43070.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g24490.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g25040.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g28210.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g28900.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g29360.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g29830.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g29830.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g29830.3	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g29930.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g29930.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g29930.3	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g31300.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g31300.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g32510.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g32510.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g32510.3	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g32510.4	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g32510.5	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g33580.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g33580.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g34330.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g01530.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g23050.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g39750.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g40740.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g42430.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g15210.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g32100.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g38870.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g38870.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g39000.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g39000.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g41640.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g31430.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g32400.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g39850.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g40590.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g40630.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g40710.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g40730.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g41650.2	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g41650.3	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g41650.4	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g41650.5	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g43620.1	bHLH	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g16670.1	BSD	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g56100.1	BSD	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g49450.1	BSD	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g52000.1	BSD	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g56654.1	BSD	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g43520.1	BSD	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g43520.2	BSD	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g07820.1	BSD	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g45310.1	BSD	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g25060.1	BSD	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g35320.1	BSD	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g07880.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g11350.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g17260.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g17260.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g36220.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g46970.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g46970.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g55150.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g58760.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g59350.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g59350.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g59760.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g64000.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g64000.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g64000.3	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g64020.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g64020.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g64730.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g03580.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g03580.3	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g03960.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g07840.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g07840.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g09830.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g10140.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g10860.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g14910.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g16680.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g16680.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g49560.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g52780.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g52780.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g58670.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g03550.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g13614.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g13614.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g13614.3	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g19370.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g19375.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g20650.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g21800.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g21800.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g47200.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g56010.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g58250.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g59460.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g10260.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g41820.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g54474.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g54474.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g54474.3	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g03860.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g03865.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g34050.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g36160.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g36160.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g37170.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g37170.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g37170.3	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g37170.4	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g37170.5	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g37170.6	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g37170.8	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g41070.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g41540.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g49420.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g10880.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g10880.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g10880.3	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g15480.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g15480.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g39960.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g41100.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g41770.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g42690.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g45140.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g45140.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g45140.3	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g50310.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g50480.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g50600.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g50600.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g50830.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g03220.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g08420.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g10890.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g10890.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g44950.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g48180.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g48660.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g48820.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g48820.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g07970.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g07970.2	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g07970.3	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g26880.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g36790.1	bZIP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g38020.1	bZIP	Genome	TF
